project_id,deployment_id,image_id,sequence_id,filename,location,is_blank,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,timestamp,age,sex,animal_recognizable,individual_id,number_of_objects,individual_animal_notes,behavior,highlighted,markings,cv_confidence,license,fuzzed,deployment_fuzzed
2002681,235ae8b3-c867-47c3-bb14-014c693c5b46,5ee97c56-159b-4ad1-9120-a3c9aecd4ae8,,02070366.JPG,https://app.wildlifeinsights.org/download/2007748/project/2002681/data-files/5ee97c56-159b-4ad1-9120-a3c9aecd4ae8,,Jessica Pacheco,d62cd43d-a519-4cd5-aef2-b76ae4bd16c1,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,Black Agouti,,2020-02-07 15:28:43,,,,,1,,,false,,,CC-BY,true,false
2002681,af1868f3-d47d-4035-9d8a-21b7dc39ea5a,b20cb762-7b69-4404-bd73-58ee46be75e1,,12280095.JPG,https://app.wildlifeinsights.org/download/2007748/project/2002681/data-files/b20cb762-7b69-4404-bd73-58ee46be75e1,,Jessica Pacheco,d4a15eb4-1c47-4b90-8e3f-15fb51dc07e8,Mammalia,Didelphimorphia,Didelphidae,Didelphis,pernigra,Andean White-eared Opossum,,2019-12-28 22:59:28,,,,,1,,,false,,,CC-BY,true,false
2002681,f65b9a20-4e64-4ab9-b3fd-f717095f760f,6a03e7c0-ecf4-4daf-bfcb-4f9abefd86c8,,12300191.JPG,https://app.wildlifeinsights.org/download/2007748/project/2002681/data-files/6a03e7c0-ecf4-4daf-bfcb-4f9abefd86c8,,Jessica Pacheco,c5ae795b-300f-4cc7-99f7-e2c2d2810a87,Mammalia,Carnivora,Felidae,Leopardus,tigrinus,Northern Tiger Cat,,2019-12-30 17:20:46,,,,,1,,,false,,,CC-BY,true,false
2002681,af1868f3-d47d-4035-9d8a-21b7dc39ea5a,fe7b1810-3494-4405-ad2c-9445fe578cd5,,12200074.JPG,https://app.wildlifeinsights.org/download/2007748/project/2002681/data-files/fe7b1810-3494-4405-ad2c-9445fe578cd5,,Jessica Pacheco,d4a15eb4-1c47-4b90-8e3f-15fb51dc07e8,Mammalia,Didelphimorphia,Didelphidae,Didelphis,pernigra,Andean White-eared Opossum,,2019-12-20 05:00:47,,,,,1,,,false,,,CC-BY,true,false
2002681,f65b9a20-4e64-4ab9-b3fd-f717095f760f,ccc252ad-82e5-4375-8ea3-9829f4a6c845,,12240117.JPG,https://app.wildlifeinsights.org/download/2007748/project/2002681/data-files/ccc252ad-82e5-4375-8ea3-9829f4a6c845,,Jessica Pacheco,c5ae795b-300f-4cc7-99f7-e2c2d2810a87,Mammalia,Carnivora,Felidae,Leopardus,tigrinus,Northern Tiger Cat,,2019-12-24 04:33:46,,,,,1,,,false,,,CC-BY,true,false
2002681,5e5ce9b4-89a7-4233-8eda-74552d4956b4,9e64bfe8-01b3-4ad8-b2d7-574686a879d8,,01060068.JPG,https://app.wildlifeinsights.org/download/2007748/project/2002681/data-files/9e64bfe8-01b3-4ad8-b2d7-574686a879d8,,Jessica Pacheco,6d0bbf09-3e44-4ead-9b18-795cad5268e7,Mammalia,Cetartiodactyla,Cervidae,Mazama,rufina,Dwarf Red Brocket,,2020-01-06 19:14:59,,,,,1,,,false,,,CC-BY,true,false
2002681,d9f5a999-c739-4cb0-87a0-2a30abbfd1fd,76a0647a-e089-416c-8217-472bead88f1d,,03120009.JPG,https://app.wildlifeinsights.org/download/2007748/project/2002681/data-files/76a0647a-e089-416c-8217-472bead88f1d,,Jessica Pacheco,c5ae795b-300f-4cc7-99f7-e2c2d2810a87,Mammalia,Carnivora,Felidae,Leopardus,tigrinus,Northern Tiger Cat,,2020-03-12 23:12:10,,,,,1,,,false,,,CC-BY,true,false
2002681,1d358fde-5db1-415a-a0d4-da238d31f7f8,da74a2e8-f002-42ae-927f-48830ab2ebb5,,01170138.JPG,https://app.wildlifeinsights.org/download/2007748/project/2002681/data-files/da74a2e8-f002-42ae-927f-48830ab2ebb5,,Jessica Pacheco,796a6de7-4ce1-4bba-9d97-72597f3a5763,Mammalia,Carnivora,Ursidae,Tremarctos,ornatus,Spectacled Bear,,2020-01-17 10:30:03,,,,,1,,,false,,,CC-BY,true,false
2002681,5e5ce9b4-89a7-4233-8eda-74552d4956b4,83dfe4f8-62dc-4dde-99e0-83f67647f745,,01080143.JPG,https://app.wildlifeinsights.org/download/2007748/project/2002681/data-files/83dfe4f8-62dc-4dde-99e0-83f67647f745,,Jessica Pacheco,796a6de7-4ce1-4bba-9d97-72597f3a5763,Mammalia,Carnivora,Ursidae,Tremarctos,ornatus,Spectacled Bear,,2020-01-08 09:18:55,,,,,1,,,false,,,CC-BY,true,false
2002681,8f3c0f30-89fd-4f8e-a498-a2303a592ffa,0ef29f04-6330-4808-844a-efa77b6c11cb,,04160035.JPG,https://app.wildlifeinsights.org/download/2007748/project/2002681/data-files/0ef29f04-6330-4808-844a-efa77b6c11cb,,Jessica Pacheco,936b55fb-1347-4dc9-8478-69799f5e877f,Mammalia,Carnivora,Procyonidae,Nasuella,olivacea,Western Mountain Coati,,2020-04-16 15:17:57,,,,,2,,,false,,,CC-BY,true,false
